video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=4R4fAKwNfs4&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,O'Ban bill would prevent future 'autonomous zones',15K,3 years,... is introducing legislation intended to prevent future autonomous zones like Seattle's Capitol Hill Organized Protest (CHOP).,39:18.9
/watch?v=1gG-PLWMHw8&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Overnight activity in CHOP is concerning,27K,3 years,Business owners say police won't respond to calls inside of CHOP. This comes after a burglar got away with cash and car keys ...,39:18.9
/watch?v=B9C83JHgRuc&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,"Some barriers come down around Seattle’s ‘CHOP’ zone, but future remains uncertain",23K,3 years,... Department will make a move back to the East Precinct or if demonstrators will stay in the Capitol Hill Organized Protest zone.,39:18.9
/watch?v=4J-Ku2pwzko&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Future uncertain for the 'CHOP' zone after shootings,42K,3 years,... was critically wounded after being shot in the latest incident of gun violence in the 'Capitol Hill Organized Protest' zone Monday.,39:18.9
/watch?v=C4lD-jL_l7Y&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Barricades still up at Seattle's CHOP zone,101K,3 years,"Barricades at Seattle's Capitol Hill Organized Protest (CHOP, formerly CHAZ) still remain after Seattle Mayor Jenny Durkan said ...",39:18.9
/watch?v=_Y9gJFB0kic&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Seattle mayor gives update after police dismantle CHOP,34K,Streamed 3 years,"Early Wednesday morning, Seattle police pushed protesters out of the Capitol Hill Organized Protest (CHOP) as they prepared to ...",39:18.9
/watch?v=bSOOv3x2Fz8&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@ConvergeMedia,Converge Media,Interview with Sye Holland at the Capitol Hill Organized Protest,463,3 years,A clip from Omari Salisbury's live stream of an interview with Sye Holland at the Capitol Hill Organized Protest. Original airdate ...,39:18.9
/watch?v=Y31YAx1zTjg&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@ABCNews,ABC News,Protesters on Capitol Hill call for Gaza ceasefire,755K,3 months,U.S. Capitol Police say demonstrations are not allowed inside Congressional buildings and are working to clear the crowd as ...,39:18.9
/watch?v=vBgOtLeKPVQ&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@CharacterMedia,Character Media,"Inside Seattle's ""Autonomous Zone""",9.1K,3 years,"Seattle's “Autonomous Zone,” also known as CHOP (Capitol Hill Organized Protest), has witnessed a peaceful #BlackLivesMatter ...",39:18.9
/watch?v=mt-HGVJZhHA&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@NBCNews,NBC News,'Like Walking On A Slack Line': Insider's Guide To Seattle Protest Zone | NBC News NOW,3.9K,3 years,One resident of Seattle's self-declared Capitol Hill Organized Protest zone said a lack of police presence had made people jumpy.,39:18.9
/watch?v=0TucOnVlpEM&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,'Black-out' held Friday at Seattle's 'CHOP' zone,19K,3 years,"CHOP organizers asked non-Black allies to stay on the sidelines Friday, to create a space for Black healing in the park.",39:18.9
/watch?v=Hb7RLCEKC1g&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@SouthChinaMorningPost,South China Morning Post,Inside the Seattle anti-racism protest zone after weekend’s deadly shooting,39K,3 years,"... Capitol Hill Organized Protest (CHOP) or the Capitol Hill Autonomous Zone (CHAZ), after police abandoned the East Precinct ...",39:18.9
/shorts/RUqSfQ3X5oM,/@komonews,KOMO News,Business owners reflect on CHOP zone in Seattle 3 years later,3.3K,6 months,This week marks 3 years since the CHOP made headlines in Seattle. Business owners reflect on how things have changed - for ...,39:18.9
/shorts/NS6DyKFEerY,/@USATODAY,USA TODAY,"Pro-Palestinian demonstrators in protest of Israel-Hamas war, arrested on Capitol Hill #Shorts",62K,3 months,"Hundreds of pro-Palestinian protesters with the group, Jewish Voice for Peace, were arrested at the Capitol while protesting the ...",39:18.9
/watch?v=2WSCFfWOiSQ&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Man shot while defending others at Capitol Hill protest is focused on bringing change,4.8K,3 years,Dan Gregory was called a hero after he stepped up to stop a man in a car that was driving toward protesters in Seattle's Capitol ...,39:28.2
/watch?v=r9CR-0pizGQ&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Demonstrators face off with police after CHOP zone cleared,75K,3 years,Demonstrators pushed out of the Capitol Hill Organized Protest (CHOP) zone faced off with police to get back into the area even ...,39:28.2
/shorts/ErdHE28ucH8,/@komonews,KOMO News,An activist's full circle journey through Seattle's social reckoning,2.5K,6 months,"TK Turner led the 'Every Day March' during the CHOP protests in 2020. Three years later, she's reflecting on the interactions ...",39:28.2
/watch?v=BrAH5QWCYCk&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,Woman injured during Capitol Hill protest,4.2K,3 years,A woman was sent to the hospital late Wednesday night following a confrontation with police in Seattle's Capitol Hill ...,39:28.2
/watch?v=d5KnyC_4Fk4&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@987TheBull,987TheBull,Seattle to Reclaim Police-Free Autonomous Zone,8.2K,3 years,"Mayor Jenny Durkan told protestors at the Capitol Hill Organized Protest (CHOP) that ""it's time for people to go home."" We can still ...",39:28.2
/watch?v=oUkV0sf7mcY&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@KING5Seattle,KING 5 Seattle,"WATCH: Seattle officials want to dismantle ""CHOP"" zone and return officers to East Precinct",31K,Streamed 3 years,"... and Fire Chief Harold Scoggins discuss deadly weekend violence in Seattle's ""Capitol Hill Organized Protest"" or ""CHOP"" zone: ...",39:28.2
/watch?v=D-30cGERB3E&pp=ygUeQ2FwaXRvbCBIaWxsIE9yZ2FuaXplZCBQcm90ZXN0,/@komonews,KOMO News,3 years post-CHOP: Seattle's East Precinct reflects on policing controversy,4.1K,6 months,"If you were to walk through the East Precinct in Seattle's Capitol Hill neighborhood, you'd be hard-pressed to see any reference to ...",39:28.2
